Domaine,Zone,Élément,Produit,Année,Unité,Valeur
"Intensités des émissions","Afghanistan","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.3632"
"Intensités des émissions","Afrique du Sud","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.3164"
"Intensités des émissions","Albanie","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.8127"
"Intensités des émissions","Algérie","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","1.7491"
"Intensités des émissions","Allemagne","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.4118"
"Intensités des émissions","Angola","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","3.5756"
"Intensités des émissions","Antigua-et-Barbuda","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","15.7677"
"Intensités des émissions","Arabie saoudite","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","1.0047"
"Intensités des émissions","Argentine","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.1305"
"Intensités des émissions","Arménie","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.3939"
"Intensités des émissions","Australie","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.2235"
"Intensités des émissions","Autriche","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.2569"
"Intensités des émissions","Azerbaïdjan","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.5272"
"Intensités des émissions","Bahamas","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","1.7532"
"Intensités des émissions","Bahreïn","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.4965"
"Intensités des émissions","Bangladesh","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","1.5908"
"Intensités des émissions","Barbade","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.9308"
"Intensités des émissions","Bélarus","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.19"
"Intensités des émissions","Belgique","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.1311"
"Intensités des émissions","Belize","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.1885"
"Intensités des émissions","Bénin","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","1.1381"
"Intensités des émissions","Bhoutan","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.217"
