Zone,Viande de volaille - Disponibilité alimentaire en quantité (kg/personne/an),PIB (US$) par habitant,Stabilité Politique,"Crédit à l'Agriculture, Sylviculture et Pêche par habitant - (US$)","Viande, poulet – Intensité des émissions (Kilogrammes d'équivalent CO2 par kilogramme)","Investissements de l'administration centrale dans l’agriculture, sylviculture et peche par habitant (US$)"
Afghanistan,1.53,520.6164092832751,-2.8,0.7059625916417,0.3632,7.946305434964896
Afrique du Sud,35.69,6680.460868855499,-0.28,261.80803272746334,0.3164,16.201963748099537
Albanie,16.36,4514.204908242201,0.38,15.603913640289456,0.8127,23.757276359325683
Algérie,6.38,4109.696066791741,-0.92,261.80803272746334,1.7491,46.58124613168912
Allemagne,19.47,44651.82910208204,0.59,685.4751957541307,0.4118,52.62278455172966
Angola,10.56,4095.811686217077,-0.38,44.52694041332316,3.5756,6.627143936401419
Antigua-et-Barbuda,54.1,15383.415190828495,0.75,2.0259992035713537,15.7677,59.10338901347641
Arabie saoudite,43.36,20802.464299322997,-0.64,261.80803272746334,1.0047,40.207933379049734
Argentine,42.24,14648.845969287031,0.17,225.67234437653428,0.1305,16.175153867548048
Arménie,16.06,3914.52524576447,-0.62,92.50570481911959,0.3939,26.684406465518265
Australie,47.65,57444.15195492141,0.9,2115.8786395722204,0.2235,84.35965249818788
Autriche,18.2,47309.0516373143,1.05,82.48558322820176,0.2569,52.62278455172966
Azerbaïdjan,13.11,4150.868844080233,-0.75,25.328527564365608,0.5272,28.59226515745552
Bahamas,43.17,32370.499404068054,0.99,261.80803272746334,1.7532,74.9957433432437
Bangladesh,1.5,1809.5453571203843,-1.26,29.412902858309725,1.5908,13.149415565944203
Barbade,46.78,17404.023659129656,0.97,12.715444115263143,0.9308,52.62278455172966
Belgique,12.65,44025.90324725204,0.43,683.0666073366943,0.1311,0.0
Belize,25.69,6084.114293621879,0.04,365.2722816411146,0.1885,21.635632529559388
Bolivie (État plurinational de),36.0,3351.1273993989917,-0.28,183.17262351741357,1.3665,15.579581795708066
Bosnie-Herzégovine,16.7,5394.741460976719,-0.35,28.458009115253503,0.7141,52.62278455172966
Botswana,3.39,7303.6594363923305,1.02,53.78548034538429,0.4633,88.50926043499555
Brésil,48.03,9928.675992078537,-0.47,39.53994182650434,0.3288,30.518805401563537
Bulgarie,22.06,8335.277985718718,0.33,164.9457830290531,0.4647,66.51513197428942
Burkina Faso,2.27,734.9963715338437,-0.93,8.61289806605807,0.4491,7.879339146284571
Bélarus,27.98,5790.908054416871,-0.05,127.18309213817102,0.19,64.25663034057051
Bénin,14.4,1136.5933602250268,0.03,3.4678931863220677,1.1381,16.911557182253055
Cabo Verde,17.62,3292.6383577241218,0.77,261.80803272746334,3.1095,24.502416753178615
Cambodge,2.34,1385.2604194196051,0.09,108.94655617830739,1.721,7.295709666734107
Cameroun,3.16,1469.4471948772602,-1.1,261.80803272746334,2.4637,8.131946852067076
Canada,39.02,44906.74891992956,1.1,558.1034596583723,0.3735,65.9012234396105
Chili,36.36,14998.813979245431,0.42,261.80803272746334,0.5437,57.19896533049377
Chine - RAS de Hong-Kong,53.51,46709.01446582836,0.83,261.80803272746334,0.6639,52.62278455172966
Chine - RAS de Macao,34.47,81018.55273416481,1.43,261.80803272746334,0.7279,52.62278455172966
"Chine, Taiwan Province de",33.17,24952.24,0.9,261.80803272746334,0.3723,52.62278455172966
"Chine, continentale",12.33,8663.126783686317,-0.2,127.90157607090488,0.5614,7.379373114764571
Chypre,25.08,19451.524847458375,0.54,261.80803272746334,0.3011,105.05409103162049
Colombie,31.99,6376.707362336646,-0.77,261.80803272746334,0.264,13.549829922768708
Congo,21.53,2170.903025909392,-0.53,261.80803272746334,1.4573,5.081500656955659
Costa Rica,26.52,12225.57717162624,0.61,209.14609489300304,0.6146,40.4872449319731
Croatie,10.77,13465.39945974725,0.69,261.80803272746334,0.4223,86.20901933773973
Cuba,23.72,8541.21443968007,0.65,261.80803272746334,1.9028,267.51495292371084
Côte d'Ivoire,2.53,2111.0268089127067,-1.09,16.957484019417723,4.0628,6.66026393075879
Danemark,28.98,57938.79772774295,0.87,261.80803272746334,0.3346,88.19187638274094
Djibouti,2.68,2930.696962924439,-0.74,261.80803272746334,0.0,52.62278455172966
Dominique,35.19,7286.797839290213,1.2,6.121176075456912,1.5605,82.70592515883456
El Salvador,20.43,3910.2531791013516,-0.26,64.64535608721556,0.3022,11.08306254447705
Espagne,30.39,28152.577462534482,0.28,492.34050631901937,0.2341,13.247032612387548
Estonie,21.26,20406.691806819817,0.65,378.01881096567354,0.2347,111.13469103146151
Eswatini,6.46,3913.145927516325,-0.27,261.80803272746334,2.3923,23.124008161414647
Fidji,28.02,6101.130428886136,0.62,261.80803272746334,0.5041,29.391686677098303
Finlande,18.76,46385.55087581656,1.08,339.00392298032557,0.1376,305.8186429474626
France,22.9,40022.37244086283,0.28,881.0440504391956,0.5494,72.33588077228782
Fédération de Russie,30.98,10817.003314854175,-0.64,205.5063590220474,0.2641,35.11012932707617
Gabon,29.33,7230.472773695374,-0.1,261.80803272746334,2.6434,3.6225865364731025
Gambie,3.53,679.7785864602968,-0.08,3.859129342076319,2.8804,2.800501741505559
Ghana,7.24,2074.1754430280207,0.09,12.124470008634525,4.0112,2.2340909016768213
Grenade,45.7,10152.839953460685,1.01,92.19674585565598,0.8538,34.814293702761695
Grèce,15.32,18907.740557928748,-0.07,131.79448060211269,0.421,44.35613962883594
Guatemala,20.58,4236.1149056131935,-0.65,76.9052629120832,0.2191,9.567856165278448
Guinée,4.08,855.5750570601961,-0.7,261.80803272746334,6.7434,2.866372118411415
Guinée-Bissau,2.16,738.5502856720884,-0.5,0.23963197667581074,2.4356,3.681327247018152
Guyana,38.34,6124.922066195232,-0.04,85.78531440026212,3.3031,133.48434383957112
Géorgie,15.27,4051.8428040300187,-0.37,3.803208309094483,0.8969,22.036981417491287
Haïti,8.91,1387.4388263876838,-0.67,261.80803272746334,2.3263,10.514127830014042
Honduras,21.73,2453.7295733922524,-0.56,77.99279627676832,0.8074,10.347848709085458
Hongrie,25.27,14708.612483495332,0.81,123.35857240157401,0.2091,75.5203871642886
Inde,2.22,1960.3903448687952,-0.76,113.97864720571815,0.3752,15.85629200255385
Indonésie,7.19,3837.5781166834445,-0.5,93.80198574981192,3.814,24.35740239494235
Iran (République islamique d'),27.52,6243.780412416742,-0.93,261.80803272746334,1.5437,52.62278455172966
