Domaine,Zone,Élément,Produit,Année,Unité,Valeur
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité intérieure","Viande de Bovins","2017","Milliers de tonnes","104"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité intérieure","Viande d'Ovins/Caprins","2017","Milliers de tonnes","158"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité intérieure","Viande de porcins","2017","Milliers de tonnes","1"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité intérieure","Viande de Volailles","2017","Milliers de tonnes","64"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité intérieure","Viande, Autre","2017","Milliers de tonnes","12"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité intérieure","Abats Comestible","2017","Milliers de tonnes","55"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité intérieure","Poissons Eau Douce","2017","Milliers de tonnes","9"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité intérieure","Perciform","2017","Milliers de tonnes","6.42"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité intérieure","Viande de Bovins","2017","Milliers de tonnes","986"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité intérieure","Viande d'Ovins/Caprins","2017","Milliers de tonnes","182"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité intérieure","Viande de porcins","2017","Milliers de tonnes","226"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité intérieure","Viande de Volailles","2017","Milliers de tonnes","2110"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité intérieure","Viande, Autre","2017","Milliers de tonnes","48"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité intérieure","Abats Comestible","2017","Milliers de tonnes","455"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité intérieure","Poissons Eau Douce","2017","Milliers de tonnes","14.19"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité intérieure","Perciform","2017","Milliers de tonnes","155.58"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité intérieure","Poissons Pelagiques","2017","Milliers de tonnes","191.06"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité intérieure","Poissons Marins, Autres","2017","Milliers de tonnes","7"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité intérieure","Crustacés","2017","Milliers de tonnes","16.58"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité intérieure","Cephalopodes","2017","Milliers de tonnes","3.22"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité intérieure","Mollusques, Autres","2017","Milliers de tonnes","4.91"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité intérieure","Animaux Aquatiques Autre","2017","Milliers de tonnes","0.04"
"Bilans Alimentaires (2010-)","Albanie","Disponibilité intérieure","Viande de Bovins","2017","Milliers de tonnes","40"
"Bilans Alimentaires (2010-)","Albanie","Disponibilité intérieure","Viande d'Ovins/Caprins","2017","Milliers de tonnes","26"
"Bilans Alimentaires (2010-)","Albanie","Disponibilité intérieure","Viande de porcins","2017","Milliers de tonnes","24"
"Bilans Alimentaires (2010-)","Albanie","Disponibilité intérieure","Viande de Volailles","2017","Milliers de tonnes","33"
"Bilans Alimentaires (2010-)","Albanie","Disponibilité intérieure","Viande, Autre","2017","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Albanie","Disponibilité intérieure","Abats Comestible","2017","Milliers de tonnes","16"
"Bilans Alimentaires (2010-)","Albanie","Disponibilité intérieure","Poissons Eau Douce","2017","Milliers de tonnes","1.63"
"Bilans Alimentaires (2010-)","Albanie","Disponibilité intérieure","Perciform","2017","Milliers de tonnes","6.01"
"Bilans Alimentaires (2010-)","Albanie","Disponibilité intérieure","Poissons Pelagiques","2017","Milliers de tonnes","9.71"
"Bilans Alimentaires (2010-)","Albanie","Disponibilité intérieure","Poissons Marins, Autres","2017","Milliers de tonnes","1.3"
"Bilans Alimentaires (2010-)","Albanie","Disponibilité intérieure","Crustacés","2017","Milliers de tonnes","4.22"
"Bilans Alimentaires (2010-)","Albanie","Disponibilité intérieure","Cephalopodes","2017","Milliers de tonnes","2.07"
"Bilans Alimentaires (2010-)","Albanie","Disponibilité intérieure","Mollusques, Autres","2017","Milliers de tonnes","0.43"
"Bilans Alimentaires (2010-)","Albanie","Disponibilité intérieure","Animaux Aquatiques Autre","2017","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Algérie","Disponibilité intérieure","Viande de Bovins","2017","Milliers de tonnes","209"
"Bilans Alimentaires (2010-)","Algérie","Disponibilité intérieure","Viande d'Ovins/Caprins","2017","Milliers de tonnes","328"
"Bilans Alimentaires (2010-)","Algérie","Disponibilité intérieure","Viande de porcins","2017","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Algérie","Disponibilité intérieure","Viande de Volailles","2017","Milliers de tonnes","286"
"Bilans Alimentaires (2010-)","Algérie","Disponibilité intérieure","Viande, Autre","2017","Milliers de tonnes","15"
"Bilans Alimentaires (2010-)","Algérie","Disponibilité intérieure","Abats Comestible","2017","Milliers de tonnes","70"
"Bilans Alimentaires (2010-)","Algérie","Disponibilité intérieure","Poissons Eau Douce","2017","Milliers de tonnes","6.83"
"Bilans Alimentaires (2010-)","Algérie","Disponibilité intérieure","Perciform","2017","Milliers de tonnes","16.47"
"Bilans Alimentaires (2010-)","Algérie","Disponibilité intérieure","Poissons Pelagiques","2017","Milliers de tonnes","120.05"
"Bilans Alimentaires (2010-)","Algérie","Disponibilité intérieure","Poissons Marins, Autres","2017","Milliers de tonnes","18.05"
"Bilans Alimentaires (2010-)","Algérie","Disponibilité intérieure","Crustacés","2017","Milliers de tonnes","4.85"
"Bilans Alimentaires (2010-)","Algérie","Disponibilité intérieure","Cephalopodes","2017","Milliers de tonnes","4.14"
"Bilans Alimentaires (2010-)","Algérie","Disponibilité intérieure","Mollusques, Autres","2017","Milliers de tonnes","0.01"
"Bilans Alimentaires (2010-)","Algérie","Disponibilité intérieure","Animaux Aquatiques Autre","2017","Milliers de tonnes","0.07"
"Bilans Alimentaires (2010-)","Allemagne","Disponibilité intérieure","Viande de Bovins","2017","Milliers de tonnes","1241"
"Bilans Alimentaires (2010-)","Allemagne","Disponibilité intérieure","Viande d'Ovins/Caprins","2017","Milliers de tonnes","68"
"Bilans Alimentaires (2010-)","Allemagne","Disponibilité intérieure","Viande de porcins","2017","Milliers de tonnes","3691"
"Bilans Alimentaires (2010-)","Allemagne","Disponibilité intérieure","Viande de Volailles","2017","Milliers de tonnes","1557"
"Bilans Alimentaires (2010-)","Allemagne","Disponibilité intérieure","Viande, Autre","2017","Milliers de tonnes","172"
"Bilans Alimentaires (2010-)","Allemagne","Disponibilité intérieure","Abats Comestible","2017","Milliers de tonnes","-133"
"Bilans Alimentaires (2010-)","Allemagne","Disponibilité intérieure","Poissons Eau Douce","2017","Milliers de tonnes","365.27"
"Bilans Alimentaires (2010-)","Allemagne","Disponibilité intérieure","Perciform","2017","Milliers de tonnes","326.6"
"Bilans Alimentaires (2010-)","Allemagne","Disponibilité intérieure","Poissons Pelagiques","2017","Milliers de tonnes","219.18"
"Bilans Alimentaires (2010-)","Allemagne","Disponibilité intérieure","Poissons Marins, Autres","2017","Milliers de tonnes","29.98"
"Bilans Alimentaires (2010-)","Allemagne","Disponibilité intérieure","Crustacés","2017","Milliers de tonnes","74.01"
"Bilans Alimentaires (2010-)","Allemagne","Disponibilité intérieure","Cephalopodes","2017","Milliers de tonnes","21.74"
"Bilans Alimentaires (2010-)","Allemagne","Disponibilité intérieure","Mollusques, Autres","2017","Milliers de tonnes","31.62"
"Bilans Alimentaires (2010-)","Allemagne","Disponibilité intérieure","Animaux Aquatiques Autre","2017","Milliers de tonnes","1.42"
"Bilans Alimentaires (2010-)","Angola","Disponibilité intérieure","Viande de Bovins","2017","Milliers de tonnes","142"
"Bilans Alimentaires (2010-)","Angola","Disponibilité intérieure","Viande d'Ovins/Caprins","2017","Milliers de tonnes","24"
"Bilans Alimentaires (2010-)","Angola","Disponibilité intérieure","Viande de porcins","2017","Milliers de tonnes","249"
